idempresa,olat,olon,n_obs,sd_km
6567,-34.35202,-58.80401,927,0
7873,-44.796742,-65.716348,463,0
7397,-34.596642,-58.497166,24,0
7514,-34.627491,-58.490212,24,0
523,-34.673961,-58.501216,278,0
1579,-34.861076,-58.663594,656,0
10179,-34.74593,-58.33087,238,0
753,-31.94762,-65.17489,476,0
9831,-31.94762,-65.17489,526,0
10744,-31.94762,-65.17489,8,0
931,-26.013431,-54.613652,729,0
11037,-30.990816,-64.097928,410,0
6893,-38.76858,-62.26708,42,0
2158,-34.598087,-58.4275,124,0
11259,-41.036681,-70.26563,34,0
10244,-41.069167,-71.163139,348,0
10373,-39.052002,-67.530619,368,0
6319,-34.9031620072384,-60.7591182457161,750,0
9556,-35.121009,-60.503959,826,0
8005,-35.12505,-60.49963,236,0
5701,-39.50247,-62.68264,390,0
6791,-39.25861,-62.61563,846,0
5316,-34.28877,-61.28899,731,0
4932,-49.98396,-68.91217,702,0
9449,-39.536675,-62.679427,620,0
10169,-36.935538,-60.230045,534,0
4914,-32.981287,-60.635391,44,0
1536,-33.20953,-68.88254,348,0
4337,-33.91315,-60.59039,961,0
1276,-34.86335,-58.04839,727,0
10272,-34.107348,-59.010342,4,0
10276,-34.887318,-60.008406,4,0
9519,-34.63844,-58.57272,941,0
698,-34.959424,-58.084575,905,0
6706,-34.70154,-58.53803,428,0
6767,-34.161923,-58.95154,42,0
304,-34.60896,-58.46511,10,0
8367,-34.690909,-58.426471,54,0
2601,-34.977646,-67.673676,84,0
2608,-34.970361,-67.688995,593,0
8452,-31.47393,-64.23326,668,0
4820,-34.66022,-58.62006,727,0
216,-31.41625,-64.49375,747,0
6565,-27.44959,-58.9886,44,0
6452,-27.412923,-58.970468,40,0
6163,-29.232648,-61.76835,58,0
9511,-31.469793,-64.227958,562,0
6283,-34.88148,-58.05385,868,0
8090,-34.92094,-57.94639,679,0
2102,-26.82011,-54.95807,721,0
2097,-26.81841,-55.02752,46,0
2319,-38.545886,-58.749893,1105,0
6187,-38.564886,-58.702313,748,0
6189,-38.34843,-59.61177,294,0
8476,-38.539906,-58.7588,1157,0
9765,-38.34843,-59.61177,730,0
9603,-38.034996,-60.090439,815,0
6190,-38.34346,-59.60841,292,0
6779,-32.7330171864509,-59.3679521865083,6,0
3405,-31.42185,-63.03726,965,0
2484,-31.424816,-63.055288,494,0
2513,-31.02094,-64.11374,48,0
1727,-33.16654,-60.52851,1214,0
5187,-27.35071,-65.59343,747,0
544,-33.0753,-68.46705,661,0
6087,-38.93242,-68.00818,886,0
6086,-38.94167,-67.99437,888,0
8084,-34.467845,-58.559811,908,0
9168,-34.601257,-58.472184,689,0
4202,-37.97946,-57.58249,1013,0
3902,-32.86824,-68.84333,687,0
263,-34.83252,-58.41306,815,0
166,-34.83209,-58.41225,817,0
7606,-32.89762,-68.8023,691,0
2630,-38.97749,-67.82925,736,0
10492,-32.61715,-60.773838,240,0
6790,-32.964961,-68.839797,112,0
2446,-32.722573,-68.607231,122,0
6873,-27.731273,-64.236609,70,0
3137,-33.08458,-68.47208,110,0
4370,-23.30737,-64.21768,546,0
4139,-32.65361,-62.29361,1254,0
3672,-32.9083,-68.85162,687,0
201,-26.80958,-65.24794,552,0
7380,-27.78403,-64.27244,149,0
10050,-27.779187,-64.274198,52,0
9685,-27.791524,-64.268935,548,0
5537,-40.711158,-65.000761,1068,0
4597,-40.82328,-62.98344,1307,0
10375,-33.89244,-60.57375,678,0
7267,-37.152515,-63.666544,532,0
6058,-37.018069,-57.116506,480,0
8262,-34.82742,-67.91717,719,0
11350,-38.96902,-68.06524,12,0
1257,-37.39046,-68.91687,841,0
1575,-34.69607,-58.40785,839,0
1976,-34.64482,-58.590115,868,0
2304,-32.88554,-68.82364,687,0
5521,-34.420075,-58.561476,128,0
1409,-34.64749,-58.796499,862,0
4153,-28.466517,-65.760397,895,0
6932,-28.458703,-65.748984,1190,0
4757,-28.45462,-65.74297,1192,0
619,-33.45891,-67.55265,738,0
567,-27.46424,-58.83539,744,0
905,-33.6885,-65.47248,753,0
8271,-33.44987,-61.49051,746,0
784,-31.54245,-68.52398,748,0
573,-34.26532,-62.71255,746,0
373,-34.50553,-58.58936,756,0
375,-34.50563,-58.59015,756,0
945,-34.65397,-59.43322,764,0
979,-37.26516,-56.97536,748,0
1292,-34.9168,-57.95129,744,0
952,-38.55868,-58.73443,748,0
1358,-40.76239,-71.64736,764,0
788,-33.30044,-66.34426,748,0
774,-32.89287,-68.83019,718,0
789,-27.787597,-64.262734,814,0
1285,-34.56678,-58.45034,738,0
959,-42.91577,-71.3191,748,0
616,-31.09359,-64.48689,754,0
625,-33.11632,-64.34693,750,0
610,-31.40942,-64.18459,744,0
601,-28.46864,-65.78533,752,0
954,-41.967976,-71.535824,758,0
597,-31.40247,-64.47079,754,0
614,-30.23882,-68.74112,772,0
903,-26.80223,-65.204,750,0
361,-34.58289,-58.4,740,0
982,-43.25244,-65.30614,750,0
1081,-42.57166,-64.28211,766,0
1295,-34.71179,-58.39281,750,0
1047,-40.15407,-71.34127,782,0
1302,-34.5090058509195,-58.4794472589302,790,0
937,-34.86548,-61.52764,752,0
799,-34.6639,-58.36282,778,0
588,-34.63402,-58.3753,730,0
590,-34.63155,-58.47184,836,0
9199,-31.42735,-64.17165,668,0
7217,-26.40803,-54.60491,738,0
980,-51.6171,-69.20935,730,0
553,-29.7329,-57.10274,760,0
587,-31.25373,-61.4838,748,0
584,-27.48682,-55.12607,738,0
781,-30.3550947027047,-66.3105423472491,784,0
612,-23.20701,-65.34711,772,0
560,-33.74576,-61.96668,732,0
547,-29.78984,-58.06368,776,0
314,-34.51205,-58.5213,790,0
978,-38.95387,-68.05681,762,0
780,-28.80453,-66.94912,772,0
755,-38.0043432284729,-57.5487101851863,780,0
1265,-36.36289,-56.71748,748,0
973,-35.4336294047288,-60.1651762969589,752,0
752,-38.72109,-62.26315,736,0
761,-37.17826,-62.75768,752,0
589,-27.36762,-55.89507,726,0
585,-31.3943,-58.01587,770,0
792,-26.83076,-65.21129,750,0
622,-29.41638,-66.86009,752,0
807,-34.91588,-57.94254,744,0
370,-34.51364,-58.52396,790,0
948,-38.264117,-57.839717,764,0
810,-34.6002,-58.5031,734,0
602,-26.1922,-58.19759,744,0
593,-34.57419,-58.42132,738,0
548,-26.06868,-65.97454,782,0
1267,-38.0120869774826,-57.5659360644026,784,0
975,-38.70084,-62.33324,740,0
604,-31.34223,-66.59183,776,0
870,-37.37944,-70.2722,756,0
756,-36.23213,-61.11789,752,0
981,-54.81506,-68.32305,718,0
7222,-28.06604,-67.56335,780,0
8282,-30.74014,-59.64491,770,0
1303,-34.37252,-58.65666,872,0
582,-26.78715,-60.4433,760,0
655,-24.78216,-65.41005,752,0
579,-31.64031,-60.70278,752,0
971,-38.88973,-70.03785,756,0
860,-39.28154,-65.66633,754,0
950,-38.95141,-67.99228,756,0
1054,-40.72407,-71.0933,714,0
1021,-40.84054,-68.08995,778,0
